"name","versions","license"
"web-streams-polyfill","3.3.3","MIT"
"whatwg-mimetype","4.0.0,5.0.0","MIT"
"whatwg-url","5.0.0,16.0.1","MIT"
"which-boxed-primitive","1.1.1","MIT"
"which-builtin-type","1.2.1","MIT"
"which-collection","1.0.2","MIT"
"which-typed-array","1.1.20","MIT"
"why-is-node-running","2.3.0","MIT"
"word-wrap","1.2.5","MIT"
"wordwrap","1.0.0","MIT"
"wrap-ansi","6.2.0,7.0.0,8.1.0,9.0.2","MIT"
"wsl-utils","0.1.0","MIT"
"xml-naming","0.1.0","MIT"
"xmlchars","2.2.0","MIT"
"xtend","4.0.2","MIT"
"yargs","15.4.1,17.7.2","MIT"
"yauzl","3.3.1","MIT"
"yazl","3.3.1","MIT"
"yocto-queue","0.1.0","MIT"
"yoctocolors","2.1.2","MIT"
"yoctocolors-cjs","2.1.3","MIT"
"yup","0.32.11","MIT"
"zip-stream","6.0.1","MIT"
"zod","3.25.17","MIT"
"zod-validation-error","4.0.2","MIT"
"@aws-amplify/appsync-modelgen-plugin","2.15.2","Apache-2.0"
"@aws-amplify/auth-construct","1.11.2","Apache-2.0"
"@aws-amplify/backend","1.23.0","Apache-2.0"
"@aws-amplify/backend-auth","1.9.4","Apache-2.0"
"@aws-amplify/backend-cli","1.8.3","Apache-2.0"
"@aws-amplify/backend-data","1.7.0","Apache-2.0"
"@aws-amplify/backend-deployer","2.1.7","Apache-2.0"
"@aws-amplify/backend-function","1.18.1","Apache-2.0"
"@aws-amplify/backend-output-schemas","1.8.0","Apache-2.0"
"@aws-amplify/backend-output-storage","1.3.5","Apache-2.0"
"@aws-amplify/backend-secret","1.4.2","Apache-2.0"
"@aws-amplify/backend-storage","1.5.0","Apache-2.0"
"@aws-amplify/cli-core","2.2.5","Apache-2.0"
"@aws-amplify/client-config","1.10.2","Apache-2.0"
"@aws-amplify/codegen-ui","2.20.4","Apache-2.0"
"@aws-amplify/codegen-ui-react","2.20.4","Apache-2.0"
"@aws-amplify/data-construct","1.17.3","Apache-2.0"
"@aws-amplify/data-schema","1.25.6","Apache-2.0"
"@aws-amplify/data-schema-types","1.2.1","Apache-2.0"
"@aws-amplify/deployed-backend-client","1.8.2","Apache-2.0"
"@aws-amplify/form-generator","1.2.7","Apache-2.0"
"@aws-amplify/graphql-api-construct","1.21.3","Apache-2.0"
"@aws-amplify/graphql-directives","1.1.1,2.8.0","Apache-2.0"
"@aws-amplify/graphql-docs-generator","4.2.1","Apache-2.0"
"@aws-amplify/graphql-generator","0.5.3","Apache-2.0"
"@aws-amplify/graphql-schema-generator","0.11.14","Apache-2.0"
"@aws-amplify/graphql-transformer-core","3.5.1","Apache-2.0"
"@aws-amplify/graphql-transformer-interfaces","4.3.0","Apache-2.0"
"@aws-amplify/model-generator","1.2.3","Apache-2.0"
"@aws-amplify/platform-core","1.11.1","Apache-2.0"
"@aws-amplify/plugin-types","1.12.1","Apache-2.0"
"@aws-amplify/sandbox","2.2.1","Apache-2.0"
"@aws-amplify/schema-generator","1.4.1","Apache-2.0"
"@aws-cdk/asset-awscli-v1","2.2.273","Apache-2.0"
"@aws-cdk/asset-node-proxy-agent-v6","2.1.2","Apache-2.0"
"@aws-cdk/aws-service-spec","0.1.183","Apache-2.0"
"@aws-cdk/cdk-assets-lib","1.4.9","Apache-2.0"
"@aws-cdk/cli-plugin-contract","2.181.1","Apache-2.0"
"@aws-cdk/cloud-assembly-api","2.2.0,2.2.5","Apache-2.0"
"@aws-cdk/cloud-assembly-schema","53.28.0","Apache-2.0"
"@aws-cdk/cloudformation-diff","2.187.1","Apache-2.0"
"@aws-cdk/cx-api","2.257.0","Apache-2.0"
"@aws-cdk/service-spec-types","0.0.237,0.0.249","Apache-2.0"
"@aws-cdk/toolkit-lib","1.19.0","Apache-2.0"
"@aws-crypto/crc32","5.2.0","Apache-2.0"
"@aws-crypto/crc32c","5.2.0","Apache-2.0"
"@aws-crypto/sha1-browser","5.2.0","Apache-2.0"
"@aws-crypto/sha256-browser","5.2.0","Apache-2.0"
"@aws-crypto/sha256-js","5.2.0","Apache-2.0"
"@aws-crypto/supports-web-crypto","5.2.0","Apache-2.0"
"@aws-crypto/util","5.2.0","Apache-2.0"
"@aws-sdk/client-amplify","3.1056.0","Apache-2.0"
"@aws-sdk/client-amplifyuibuilder","3.1056.0","Apache-2.0"
"@aws-sdk/client-appsync","3.1056.0","Apache-2.0"
"@aws-sdk/client-bedrock-agentcore-control","3.1056.0","Apache-2.0"
"@aws-sdk/client-cloudcontrol","3.1056.0","Apache-2.0"
"@aws-sdk/client-cloudformation","3.1056.0","Apache-2.0"
"@aws-sdk/client-cloudwatch-logs","3.1056.0","Apache-2.0"
"@aws-sdk/client-codebuild","3.1056.0","Apache-2.0"
"@aws-sdk/client-cognito-identity","3.1056.0","Apache-2.0"
"@aws-sdk/client-dynamodb","3.1056.0","Apache-2.0"
"@aws-sdk/client-ec2","3.1056.0","Apache-2.0"
"@aws-sdk/client-ecr","3.1056.0","Apache-2.0"
"@aws-sdk/client-ecs","3.1056.0","Apache-2.0"
"@aws-sdk/client-elastic-load-balancing-v2","3.1056.0","Apache-2.0"
"@aws-sdk/client-iam","3.1056.0","Apache-2.0"
"@aws-sdk/client-kms","3.1056.0","Apache-2.0"
"@aws-sdk/client-lambda","3.1056.0","Apache-2.0"
"@aws-sdk/client-rds","3.1056.0","Apache-2.0"
"@aws-sdk/client-route-53","3.1056.0","Apache-2.0"
"@aws-sdk/client-s3","3.1056.0","Apache-2.0"
"@aws-sdk/client-secrets-manager","3.1056.0","Apache-2.0"
"@aws-sdk/client-sfn","3.1056.0","Apache-2.0"
"@aws-sdk/client-sqs","3.1056.0","Apache-2.0"
"@aws-sdk/client-ssm","3.1056.0","Apache-2.0"
"@aws-sdk/client-sts","3.1056.0","Apache-2.0"
"@aws-sdk/core","3.974.15","Apache-2.0"
"@aws-sdk/crc64-nvme","3.972.9","Apache-2.0"
"@aws-sdk/credential-provider-cognito-identity","3.972.38","Apache-2.0"
"@aws-sdk/credential-provider-env","3.972.41","Apache-2.0"
"@aws-sdk/credential-provider-http","3.972.43","Apache-2.0"
"@aws-sdk/credential-provider-ini","3.972.45","Apache-2.0"
"@aws-sdk/credential-provider-login","3.972.45","Apache-2.0"
"@aws-sdk/credential-provider-node","3.972.46","Apache-2.0"
"@aws-sdk/credential-provider-process","3.972.41","Apache-2.0"
"@aws-sdk/credential-provider-sso","3.972.45","Apache-2.0"
"@aws-sdk/credential-provider-web-identity","3.972.45","Apache-2.0"
"@aws-sdk/credential-providers","3.1056.0","Apache-2.0"
"@aws-sdk/dynamodb-codec","3.973.15","Apache-2.0"
"@aws-sdk/ec2-metadata-service","3.1056.0","Apache-2.0"
"@aws-sdk/endpoint-cache","3.972.5","Apache-2.0"
"@aws-sdk/lib-dynamodb","3.1056.0","Apache-2.0"
"@aws-sdk/lib-storage","3.1056.0","Apache-2.0"
"@aws-sdk/middleware-bucket-endpoint","3.972.17","Apache-2.0"
"@aws-sdk/middleware-endpoint-discovery","3.972.15","Apache-2.0"
"@aws-sdk/middleware-expect-continue","3.972.14","Apache-2.0"
"@aws-sdk/middleware-flexible-checksums","3.974.23","Apache-2.0"
"@aws-sdk/middleware-location-constraint","3.972.11","Apache-2.0"
"@aws-sdk/middleware-sdk-ec2","3.972.29","Apache-2.0"
"@aws-sdk/middleware-sdk-rds","3.972.29","Apache-2.0"
"@aws-sdk/middleware-sdk-route53","3.972.13","Apache-2.0"
"@aws-sdk/middleware-sdk-s3","3.972.44","Apache-2.0"
"@aws-sdk/middleware-sdk-sqs","3.972.26","Apache-2.0"
"@aws-sdk/middleware-ssec","3.972.11","Apache-2.0"
"@aws-sdk/nested-clients","3.997.13","Apache-2.0"
"@aws-sdk/region-config-resolver","3.972.19","Apache-2.0"
"@aws-sdk/s3-request-presigner","3.1056.0","Apache-2.0"
"@aws-sdk/signature-v4-multi-region","3.996.30","Apache-2.0"
"@aws-sdk/token-providers","3.1056.0","Apache-2.0"
"@aws-sdk/types","3.910.0,3.973.9","Apache-2.0"
"@aws-sdk/util-arn-parser","3.972.10","Apache-2.0"
"@aws-sdk/util-dynamodb","3.996.2","Apache-2.0"
"@aws-sdk/util-locate-window","3.965.5","Apache-2.0"
"@aws-sdk/xml-builder","3.972.26","Apache-2.0"
"@aws/lambda-invoke-store","0.2.4","Apache-2.0"
"@cdklabs/tskb","0.0.4","Apache-2.0"
"@eslint/config-array","0.21.2","Apache-2.0"
"@eslint/config-helpers","0.4.2","Apache-2.0"
"@eslint/core","0.17.0","Apache-2.0"
"@eslint/object-schema","2.1.7","Apache-2.0"
"@eslint/plugin-kit","0.4.1","Apache-2.0"
"@humanfs/core","0.19.1","Apache-2.0"
"@humanfs/node","0.16.6","Apache-2.0"
"@humanwhocodes/module-importer","1.0.1","Apache-2.0"
"@humanwhocodes/retry","0.3.1,0.4.3","Apache-2.0"
"@img/sharp-linux-x64","0.34.5","Apache-2.0"
"@opentelemetry/api","1.9.1","Apache-2.0"
"@opentelemetry/context-async-hooks","2.7.1","Apache-2.0"
"@opentelemetry/core","2.7.1","Apache-2.0"
"@opentelemetry/resources","2.7.1","Apache-2.0"
"@opentelemetry/sdk-trace-base","2.7.1","Apache-2.0"
"@opentelemetry/semantic-conventions","1.41.1","Apache-2.0"
"@playwright/test","1.60.0","Apache-2.0"
"@smithy/config-resolver","4.5.5","Apache-2.0"
"@smithy/core","3.24.5","Apache-2.0"
"@smithy/credential-provider-imds","4.3.5","Apache-2.0"
"@smithy/fetch-http-handler","5.4.5","Apache-2.0"
"@smithy/is-array-buffer","2.2.0,3.0.0","Apache-2.0"
"@smithy/middleware-endpoint","4.5.5","Apache-2.0"
"@smithy/node-config-provider","4.4.5","Apache-2.0"
"@smithy/node-http-handler","4.7.5","Apache-2.0"
"@smithy/property-provider","4.3.5","Apache-2.0"
"@smithy/protocol-http","5.4.5","Apache-2.0"
"@smithy/shared-ini-file-loader","4.5.5","Apache-2.0"
"@smithy/signature-v4","5.4.5","Apache-2.0"
"@smithy/types","4.14.2","Apache-2.0"
"@smithy/util-base64","3.0.0","Apache-2.0"
"@smithy/util-buffer-from","2.2.0,3.0.0","Apache-2.0"
"@smithy/util-retry","4.4.5","Apache-2.0"
"@smithy/util-utf8","2.3.0,3.0.0","Apache-2.0"
"@smithy/util-waiter","4.4.5","Apache-2.0"
"@swc/helpers","0.5.15","Apache-2.0"
"aria-query","5.3.0,5.3.2","Apache-2.0"
"aws-cdk-lib","2.257.0","Apache-2.0"
"axobject-query","4.1.0","Apache-2.0"
"b4a","1.8.1","Apache-2.0"
"bare-events","2.8.3","Apache-2.0"
"bare-fs","4.7.1","Apache-2.0"
"bare-os","3.9.1","Apache-2.0"
"bare-path","3.0.0","Apache-2.0"
"bare-stream","2.13.1","Apache-2.0"
"bare-url","2.4.3","Apache-2.0"
"baseline-browser-mapping","2.10.13,2.10.29","Apache-2.0"
"bser","2.1.1","Apache-2.0"
"constructs","10.6.0","Apache-2.0"
"crc-32","1.2.2","Apache-2.0"
"denque","2.1.0","Apache-2.0"
"detect-libc","2.1.2","Apache-2.0"
"doctrine","2.1.0","Apache-2.0"
"eslint-visitor-keys","3.4.3,4.2.1,5.0.1","Apache-2.0"
"events-universal","1.0.1","Apache-2.0"
"expect-type","1.3.0","Apache-2.0"
"fb-watchman","2.0.2","Apache-2.0"
"graphql-mapping-template","4.20.16,5.0.2","Apache-2.0"
"graphql-transformer-common","4.34.0,5.1.4","Apache-2.0"
"human-signals","8.0.1","Apache-2.0"
"long","5.3.2","Apache-2.0"
"playwright","1.60.0","Apache-2.0"
"playwright-core","1.60.0","Apache-2.0"
"readdir-glob","1.1.3","Apache-2.0"
"rxjs","7.8.2","Apache-2.0"
"sharp","0.34.5","Apache-2.0"
"text-decoder","1.2.7","Apache-2.0"
"typescript","4.4.4,5.9.3","Apache-2.0"
"xml-name-validator","5.0.0","Apache-2.0"
"@aws-amplify/graphql-types-generator","3.6.0","(MIT OR Apache-2.0)"
"@axe-core/playwright","4.11.3","MPL-2.0"
"axe-core","4.11.4","MPL-2.0"
"lightningcss","1.32.0","MPL-2.0"
"lightningcss-linux-x64-gnu","1.32.0","MPL-2.0"
"@csstools/color-helpers","6.0.2","MIT-0"
"@csstools/css-syntax-patches-for-csstree","1.1.3","MIT-0"
"@img/sharp-libvips-linux-x64","1.2.4","LGPL-3.0-or-later"
"@isaacs/cliui","8.0.2","ISC"
"at-least-node","1.0.0","ISC"
"cli-width","4.1.0","ISC"
"cliui","6.0.0,8.0.1","ISC"
"electron-to-chromium","1.5.331","ISC"
"eslint-import-resolver-typescript","3.10.1","ISC"
"fastq","1.19.1","ISC"
"flatted","3.3.3","ISC"
"foreground-child","3.3.1","ISC"
"fs.realpath","1.0.0","ISC"
"get-caller-file","2.0.5","ISC"
"glob","7.2.3,10.5.0","ISC"
"glob-parent","5.1.2,6.0.2","ISC"
"graceful-fs","4.2.11","ISC"
"inflight","1.0.6","ISC"
"inherits","2.0.4","ISC"
"isexe","2.0.0","ISC"
"lru-cache","5.1.1,8.0.5,10.4.3","ISC"
"lucide-react","1.17.0","ISC"
"minimatch","3.1.5,5.1.9,9.0.9","ISC"
"mute-stream","0.0.8,2.0.0","ISC"
"once","1.4.0","ISC"
"pg-int8","1.0.1","ISC"
"picocolors","1.1.1","ISC"
"require-main-filename","2.0.0","ISC"
"rimraf","3.0.2","ISC"
"saxes","6.0.0","ISC"
"semver","6.3.1,7.8.0,7.8.1","ISC"
"set-blocking","2.0.0","ISC"
"siginfo","2.0.0","ISC"
"signal-exit","3.0.7,4.1.0","ISC"
"split2","4.2.0","ISC"
"which","2.0.2","ISC"
"which-module","2.0.1","ISC"
"wrappy","1.0.2","ISC"
"y18n","4.0.3,5.0.8","ISC"
"yallist","3.1.1","ISC"
"yaml","1.10.3","ISC"
"yargs-parser","18.1.3,21.1.1","ISC"
"@isaacs/cliui","9.0.0","BlueOak-1.0.0"
"glob","11.1.0","BlueOak-1.0.0"
"jackspeak","3.4.3,4.2.3","BlueOak-1.0.0"
"lru-cache","11.3.5,11.5.1","BlueOak-1.0.0"
"minimatch","10.2.3,10.2.5","BlueOak-1.0.0"
"minipass","7.1.3","BlueOak-1.0.0"
"package-json-from-dist","1.0.1","BlueOak-1.0.0"
"path-scurry","1.11.1,2.0.2","BlueOak-1.0.0"
"argparse","2.0.1","Python-2.0"
"caniuse-lite","1.0.30001788,1.0.30001792","CC-BY-4.0"
"cdk-from-cfn","0.288.0","MIT OR Apache-2.0"
"charenc","0.0.2","BSD-3-Clause"
"crypt","0.0.2","BSD-3-Clause"
"diff","8.0.4","BSD-3-Clause"
"esquery","1.7.0","BSD-3-Clause"
"fast-uri","3.1.2","BSD-3-Clause"
"ieee754","1.2.1","BSD-3-Clause"
"immutable","3.7.6","BSD-3-Clause"
"istanbul-lib-coverage","3.2.2","BSD-3-Clause"
"istanbul-lib-report","3.0.1","BSD-3-Clause"
"istanbul-reports","3.2.0","BSD-3-Clause"
"md5","2.3.0","BSD-3-Clause"
"signedsource","1.0.0","BSD-3-Clause"
"source-map","0.5.7,0.6.1","BSD-3-Clause"
"source-map-js","1.2.1","BSD-3-Clause"
"table","6.9.0","BSD-3-Clause"
"tough-cookie","6.0.1","BSD-3-Clause"
"damerau-levenshtein","1.0.8","BSD-2-Clause"
"dotenv","17.4.2","BSD-2-Clause"
"entities","8.0.0","BSD-2-Clause"
"eslint-scope","8.4.0","BSD-2-Clause"
"espree","10.4.0","BSD-2-Clause"
"esrecurse","4.3.0","BSD-2-Clause"
"estraverse","5.3.0","BSD-2-Clause"
"esutils","2.0.3","BSD-2-Clause"
"uglify-js","3.19.3","BSD-2-Clause"
"uri-js","4.4.1","BSD-2-Clause"
"webidl-conversions","3.0.1,8.0.1","BSD-2-Clause"
"language-subtag-registry","0.3.23","CC0-1.0"
"mdn-data","2.27.1","CC0-1.0"
"tslib","1.14.1,2.0.3,2.2.0,2.3.1,2.4.1,2.8.1","0BSD"
